I [/root/cse532/mako/src/deptran/config.cc:269] 2025-12-24 01:52:11.402 | LoadYML: src/deptran/luigi/config/local-2shard-proc.yml
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=105 ops=2 shards=2 keys=[key_47581->s0 key_32777->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=106 ops=2 shards=2 keys=[key_882->s1 key_65310->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=107 ops=2 shards=2 keys=[key_52219->s0 key_40433->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=108 ops=2 shards=1 keys=[key_19256->s0 key_29527->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=109 ops=2 shards=2 keys=[key_66313->s0 key_75385->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=110 ops=2 shards=1 keys=[key_31947->s1 key_237->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=111 ops=2 shards=1 keys=[key_62238->s0 key_26986->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=112 ops=2 shards=2 keys=[key_68807->s0 key_65023->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=113 ops=2 shards=2 keys=[key_43730->s0 key_61551->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=114 ops=2 shards=1 keys=[key_31706->s0 key_41699->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=115 ops=2 shards=1 keys=[key_34417->s0 key_58516->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=116 ops=2 shards=2 keys=[key_37558->s1 key_94886->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=117 ops=2 shards=1 keys=[key_26622->s1 key_47768->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=118 ops=2 shards=2 keys=[key_83335->s1 key_22364->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=119 ops=2 shards=2 keys=[key_48239->s1 key_20157->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=120 ops=2 shards=1 keys=[key_23459->s0 key_31379->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=121 ops=2 shards=2 keys=[key_22985->s1 key_8346->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=122 ops=2 shards=1 keys=[key_22325->s1 key_94908->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=123 ops=2 shards=1 keys=[key_77473->s1 key_68758->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=124 ops=2 shards=1 keys=[key_34103->s0 key_39746->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=125 ops=2 shards=1 keys=[key_42472->s0 key_17009->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=126 ops=2 shards=1 keys=[key_82897->s1 key_92098->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=127 ops=2 shards=2 keys=[key_41522->s1 key_1581->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=128 ops=2 shards=2 keys=[key_24107->s1 key_23004->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=129 ops=2 shards=1 keys=[key_4030->s0 key_91726->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=130 ops=2 shards=2 keys=[key_50024->s0 key_4176->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=131 ops=2 shards=1 keys=[key_67310->s0 key_55791->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=132 ops=2 shards=2 keys=[key_58264->s0 key_2307->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=133 ops=2 shards=1 keys=[key_52855->s0 key_79863->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=134 ops=2 shards=2 keys=[key_31191->s0 key_25061->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=135 ops=2 shards=2 keys=[key_78540->s1 key_16785->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=136 ops=2 shards=1 keys=[key_31801->s0 key_55331->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=137 ops=2 shards=2 keys=[key_88180->s0 key_70410->s1 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=138 ops=2 shards=1 keys=[key_93621->s0 key_30121->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=139 ops=2 shards=1 keys=[key_98594->s0 key_4562->s0 ]
I [/root/cse532/mako/src/deptran/luigi/coordinator.cc:369] 2025-12-24 01:52:11.406 | DispatchOne: txn=140 ops=2 shards=1 keys=[key_14179->s1 key_85261->s1 ]
